Time,Signal,Inhibition
0.767,-7.103,#N/A
0.77,-1.173,#N/A
0.774,4.679,#N/A
0.777,10.35,#N/A
0.78,15.746,#N/A
0.784,20.782,#N/A
0.787,25.379,#N/A
0.79,29.472,#N/A
0.794,33.02,#N/A
0.797,36.003,#N/A
0.8,38.435,#N/A
0.804,40.351,#N/A
0.807,41.809,#N/A
0.81,42.877,#N/A
0.814,43.631,#N/A
0.817,44.154,#N/A
0.82,44.573,#N/A
0.824,45.137,#N/A
0.827,46.27,#N/A
0.83,48.465,#N/A
0.834,51.927,#N/A
0.837,56.139,#N/A
0.84,59.794,#N/A
0.844,61.297,#N/A
0.847,59.51,#N/A
0.85,54.239,#N/A
0.854,46.214,#N/A
0.857,36.721,#N/A
0.86,27.164,#N/A
0.864,18.718,#N/A
0.867,12.126,#N/A
0.87,7.644,#N/A
0.874,5.129,#N/A
0.877,4.192,#N/A
0.88,4.37,#N/A
0.884,5.233,#N/A
0.887,6.435,#N/A
0.89,7.716,#N/A
0.894,8.89,#N/A
0.897,9.819,#N/A
0.9,10.414,#N/A
0.904,10.63,#N/A
0.907,10.468,#N/A
0.91,9.973,#N/A
0.914,9.223,#N/A
0.917,8.317,#N/A
0.92,7.352,#N/A
0.924,6.414,#N/A
0.927,5.566,#N/A
0.93,4.845,#N/A
0.934,4.265,#N/A
0.937,3.819,#N/A
0.94,3.492,#N/A
0.944,3.259,#N/A
0.947,3.101,#N/A
0.95,2.999,#N/A
0.954,2.94,#N/A
0.957,2.912,#N/A
0.96,2.907,#N/A
0.964,2.916,#N/A
0.967,2.931,14.17843
0.97,2.95,#N/A
0.974,2.967,#N/A
0.977,2.98,#N/A
0.98,2.989,#N/A
0.984,2.993,#N/A
0.987,2.998,#N/A
0.99,3.007,#N/A
0.994,3.024,#N/A
0.997,3.053,#N/A
1,3.095,#N/A
1.004,3.152,#N/A
1.007,3.224,#N/A
1.01,3.311,#N/A
1.014,3.412,#N/A
1.017,3.522,#N/A
1.02,3.639,#N/A
1.024,3.761,#N/A
1.027,3.887,#N/A
1.03,4.019,#N/A
1.034,4.157,#N/A
1.037,4.303,#N/A
1.04,4.46,#N/A
1.044,4.631,#N/A
1.047,4.818,#N/A
1.05,5.023,#N/A
1.054,5.249,#N/A
1.057,5.497,#N/A
1.06,5.767,#N/A
1.064,6.061,#N/A
1.067,6.382,#N/A
1.07,6.732,#N/A
1.074,7.111,#N/A
1.077,7.522,#N/A
1.08,7.965,#N/A
1.084,8.439,#N/A
1.087,8.941,#N/A
1.09,9.466,#N/A
1.094,10.008,#N/A
1.097,10.557,#N/A
1.1,11.102,12.2295
1.104,11.627,#N/A
1.107,12.114,#N/A
1.11,12.548,#N/A
1.114,12.915,#N/A
1.117,13.205,#N/A
1.12,13.413,#N/A
1.124,13.543,#N/A
1.127,13.603,#N/A
1.13,13.611,#N/A
1.134,13.587,#N/A
1.137,13.551,#N/A
1.14,13.522,#N/A
1.144,13.517,#N/A
1.147,13.551,#N/A
